              t                   y
              0      0.009900990099
      0.0078125       0.01759807245
       0.015625       0.02518779932
      0.0234375       0.03262387024
        0.03125       0.03986092211
      0.0390625       0.04685480595
       0.046875       0.05356285617
      0.0546875       0.05994415092
         0.0625       0.06595976166
      0.0703125       0.07157299069
       0.078125         0.076749595
      0.0859375       0.08145799517
        0.09375       0.08566946803
      0.1015625       0.08935832185
       0.109375       0.09250205311
      0.1171875       0.09508148375
          0.125       0.09708087818
      0.1328125       0.09848803928
       0.140625       0.09929438277
      0.1484375       0.09949498964
        0.15625       0.09908863609
      0.1640625       0.09807780106
       0.171875       0.09646865105
      0.1796875       0.09427100254
         0.1875       0.09149826209
      0.1953125       0.08816734457
       0.203125       0.08429856993
      0.2109375       0.07991553929
        0.21875       0.07504499096
      0.2265625       0.06971663727
       0.234375       0.06396298339
      0.2421875       0.05781912897
           0.25       0.05132255405
      0.2578125       0.04451289041
       0.265625       0.03743167981
      0.2734375       0.03012212055
        0.28125       0.02262880396
      0.2890625       0.01499744234
       0.296875      0.007274590142
      0.3046875    -0.0004926400461
         0.3125     -0.008256864925
      0.3203125      -0.01597071953
       0.328125      -0.02358714616
      0.3359375      -0.03105968148
        0.34375      -0.03834273996
      0.3515625      -0.04539189193
       0.359375      -0.05216413466
      0.3671875      -0.05861815468
          0.375      -0.06471457982
      0.3828125      -0.07041621937
       0.390625      -0.07568829097
      0.3984375      -0.08049863283
        0.40625      -0.08481789987
      0.4140625      -0.08861974279
       0.421875      -0.09188096878
      0.4296875      -0.09458168302
         0.4375      -0.09670541004
      0.4453125      -0.09823919422
       0.453125      -0.09917367886
      0.4609375      -0.09950316322
        0.46875      -0.09922563729
      0.4765625      -0.09834279411
       0.484375      -0.09686001939
      0.4921875      -0.09478635865
            0.5      -0.09213446208
      0.5078125      -0.08892050735
       0.515625      -0.08516410091
      0.5234375      -0.08088815837
        0.53125      -0.07611876475
      0.5390625      -0.07088501531
       0.546875      -0.06521883808
      0.5546875      -0.05915479909
         0.5625      -0.05272989145
      0.5703125      -0.04598330976
       0.578125      -0.03895621094
      0.5859375      -0.03169146318
        0.59375      -0.02423338445
      0.6015625      -0.01662747209
       0.609375     -0.008920125302
      0.6171875     -0.001158362075
          0.625       0.00661046764
      0.6328125       0.01433897078
       0.640625       0.02198000029
      0.6484375       0.02948694276
        0.65625       0.03681400272
      0.6640625       0.04391648211
       0.671875       0.05075105288
      0.6796875       0.05727602132
         0.6875       0.06345158244
      0.6953125       0.06924006278
       0.703125       0.07460615022
      0.7109375       0.07951710942
        0.71875        0.0839429815
      0.7265625       0.08785676683
       0.734375       0.09123458969
      0.7421875       0.09405584399
           0.75        0.0963033189
      0.7578125        0.0979633039
       0.765625       0.09902567241
      0.7734375       0.09948394353
        0.78125       0.09933532162
      0.7890625       0.09858071334
       0.796875       0.09722472212
      0.8046875       0.09527562004
         0.8125       0.09274529745
      0.8203125       0.08964919034
       0.828125       0.08600618626
      0.8359375       0.08183850901
        0.84375       0.07717158316
      0.8515625       0.07203387887
       0.859375       0.06645673825
      0.8671875       0.06047418416
          0.875       0.05412271264
      0.8828125       0.04744107028
       0.890625       0.04047001786
      0.8984375       0.03325208166
        0.90625       0.02583129407
      0.9140625       0.01825292495
       0.921875       0.01056320547
      0.9296875      0.002809046086
         0.9375     -0.004962249634
      0.9453125      -0.01270327359
       0.953125      -0.02036680234
      0.9609375      -0.02790608521
        0.96875      -0.03527512946
      0.9765625       -0.0424289809
       0.984375      -0.04932399808
      0.9921875      -0.05591811855
              1      -0.06217111547
