              t                   y
              0      0.009900990099
       0.015625       0.02518780222
        0.03125       0.03986092798
       0.046875       0.05356286499
         0.0625       0.06595977333
       0.078125       0.07674960938
        0.09375       0.08566948488
       0.109375       0.09250207215
          0.125       0.09708089907
       0.140625       0.09929440511
        0.15625       0.09908865945
       0.171875       0.09646867498
         0.1875       0.09149828612
       0.203125       0.08429859357
        0.21875       0.07504501376
       0.234375        0.0639630049
           0.25       0.05132257385
       0.265625       0.03743169753
        0.28125       0.02262881925
       0.296875      0.007274602746
         0.3125     -0.008256855219
       0.328125      -0.02358713949
        0.34375      -0.03834273639
       0.359375      -0.05216413419
          0.375      -0.06471458236
       0.390625      -0.07568829638
        0.40625      -0.08481790791
       0.421875      -0.09188097918
         0.4375      -0.09670542244
       0.453125      -0.09917369289
        0.46875      -0.09922565252
       0.484375      -0.09686003535
            0.5      -0.09213447832
       0.515625      -0.08516411694
        0.53125       -0.0761187801
       0.546875      -0.06521885232
         0.5625      -0.05272990413
       0.578125      -0.03895622168
        0.59375      -0.02423339292
       0.609375     -0.008920131214
          0.625      0.006610464498
       0.640625       0.02198000007
        0.65625        0.0368140055
       0.671875       0.05075105865
         0.6875       0.06345159113
       0.703125       0.07460616169
        0.71875       0.08394299554
       0.734375       0.09123460602
           0.75       0.09630333718
       0.765625       0.09902569226
        0.78125       0.09933534263
       0.796875       0.09722474382
         0.8125       0.09274531939
       0.828125       0.08600620795
        0.84375       0.07717160414
       0.859375       0.06645675806
          0.875       0.05412273086
       0.890625        0.0404700341
        0.90625       0.02583130799
       0.921875       0.01056321678
         0.9375     -0.004962241156
       0.953125      -0.02036679685
        0.96875      -0.03527512704
       0.984375      -0.04932399872
              1      -0.06217111913
