              t                   y
              0      0.009900990099
        0.03125       0.03986102208
         0.0625       0.06595996068
        0.09375       0.08566975533
          0.125       0.09708123416
        0.15625       0.09908903426
         0.1875       0.09149867162
        0.21875       0.07504537967
           0.25       0.05132289156
        0.28125       0.02262906463
         0.3125     -0.008256699514
        0.34375      -0.03834267921
          0.375      -0.06471462321
        0.40625      -0.08481803698
         0.4375      -0.09670562155
        0.46875      -0.09922589688
            0.5      -0.09213473894
        0.53125      -0.07611902657
         0.5625      -0.05273010756
        0.59375      -0.02423352876
          0.625      0.006610414105
        0.65625       0.03681404999
         0.6875       0.06345173063
        0.71875       0.08394322081
           0.75       0.09630363054
        0.78125        0.0993356797
         0.8125       0.09274567141
        0.84375        0.0771719408
          0.875       0.05412302321
        0.90625       0.02583153125
         0.9375     -0.004962105156
        0.96875      -0.03527508814
              1      -0.06217117787
